SENDIST,WhiteEmploy,BlackEmploy,Native AmericanEmploy,AsianEmploy,LatinoEmploy,WhiteDisability,BlackDisability,Native AmericanDisability,AsianDisability,LatinoDisability,FemHHPov,TotalIncomeBuyingPower,MNTaxes
1,3.6,7,4.6,1,8.2,13,8.6,10.5,2,9,12%,$ 116 million,"$13,337,015 "
2,4.9,21.9,21.4,3.6,25.4,13.2,3.3,14.8,5.5,3.5,51%,$ 259 million,"$29,847,585 "
3,5.5,9.5,13.9,3.8,6.4,10.6,12,23.4,10.9,9.3,3%,$ 88 million,"$10,100,944 "
4,3.7,18.4,8.6,9.6,7.1,15,13.7,16.6,7,13.9,23%,$ 134 million,"$15,456,304 "
5,6.5,45,20.2,0,11.5,16.1,29.9,29.5,13,18.2,37%,$ 191 million,"$22,023,317 "
6,7.4,23.7,20.7,7.8,8.6,13.7,17.6,19.8,3.2,5.8,16%,$ 72 million,"$8,257,038 "
7,6.1,28.3,20.2,6.7,3.6,13.4,17.6,52.1,12.3,7.9,23%,$ 137 million,"$15,781,121 "
8,4.3,14.2,9.8,2.4,8,13.4,11.9,18.6,0,4.4,22%,$ 73 million,"$8,354,562 "
9,5.2,2.5,10.9,4.5,8.7,15,6.8,21.7,10.7,19.8,8%,$ 70 million,"$8,061,567 "
10,5.7,1.7,15.4,4.4,18.6,14.2,20.5,13,2.1,10.3,2%,$ 60 million,"$6,889,385 "
11,6.3,19.1,14.5,1,9.9,12.4,23.8,20,0.6,4.5,17%,$ 132 million,"$15,181,822 "
12,3.2,9.3,22.4,5.4,9.2,10.7,7.2,35,6.5,7.9,8%,$ 84 million,"$9,663,365 "
13,4.5,11.5,22.4,4.7,13.4,12.6,8.8,26.5,9.8,9.6,8%,$ 91 million,"$10,516,484 "
14,5.8,19.5,14.2,10.6,10.4,10.9,12.1,15.5,8,10.2,35%,$ 218 million,"$25,113,931 "
15,5.6,11.2,18.8,10.7,10.5,11.8,11.1,7.8,4.3,5.3,13%,$ 76 million,"$8,735,135 "
16,3.5,18.9,7.3,1.4,13.5,13.2,6.7,7.8,2.8,7.5,30%,$ 129 million,"$14,904,344 "
17,3.5,10,3.8,0,12.9,11.1,9.7,10,10.8,6.7,30%,$ 179 million,"$20,666,002 "
18,4.5,16.7,5.7,2.6,11.4,9.9,10.1,0,2.9,5,16%,$ 104 million,"$11,954,167 "
19,4,17.5,16.3,7.5,9.2,8,12.5,2.6,1.4,7.1,33%,$ 148 million,"$17,033,310 "
20,4.4,15.7,0,3.3,9,10.9,30.4,9.5,10.5,7.5,12%,$ 135 million,"$15,620,216 "
21,4.4,8.7,14.8,1.9,4.9,13.2,6.9,14.4,13.6,4.8,13%,$ 104 million,"$12,005,629 "
22,3.9,18.3,6.6,5.9,12.9,12.2,8,16.2,7.4,7.7,36%,$ 240 million,"$27,623,536 "
23,4,11.3,9.4,2.8,6,12.1,5.5,13.6,4.7,4,19%,$ 114 million,"$13,094,885 "
24,4.4,20.1,0,5,14.8,8,8.3,3.1,5.9,3.6,28%,$ 207 million,"$23,770,729 "
25,2.8,18.2,0,2.2,9.3,9.9,10.3,23.1,4.4,11.4,30%,$ 231 million,"$26,596,007 "
26,3.7,18.5,20,4.5,7.7,14.1,4.1,16.4,2,6.2,30%,$ 266 million,"$30,626,425 "
27,4.7,8.9,12.2,2.6,14,11.2,8.1,22.4,10,5.2,38%,$ 191 million,"$21,992,928 "
28,5.8,11.4,19.8,0,4.4,9.3,18.9,11.1,0.2,3.9,14%,$ 63 million,"$7,321,984 "
29,5.4,12.6,0,0.9,9.7,7.7,1.7,14.5,3.7,2.5,6%,$ 86 million,"$9,906,185 "
30,4.1,0,45.8,16.1,2.4,9.4,12.1,7.8,9,8.2,12%,$ 126 million,"$14,575,375 "
31,6.2,2.7,3.5,2.6,14.2,11.9,23.1,41,3.1,12.2,10%,$ 92 million,"$10,547,163 "
32,5.9,11.6,13.3,4.8,10.8,7,11.2,1.4,8,4,0%,$ 76 million,"$8,699,337 "
33,4,12.2,2.3,3,6.5,6.2,5.6,13.3,5.8,4.9,9%,$ 112 million,"$12,861,116 "
34,4,10.1,25.6,3.4,1.7,10,10.9,13.7,7.1,9.7,15%,$ 214 million,"$24,654,508 "
35,5.1,12.1,0,4.7,10.3,8.9,7.4,2,3.2,5.7,20%,$ 155 million,"$17,842,195 "
36,4.7,8.8,15.1,5.1,12.6,9.7,8.9,7.6,6.5,5.1,43%,$ 353 million,"$40,669,912 "
37,5.3,13.8,10.6,3.8,8.9,8.9,5.4,16.4,4,8.8,36%,$ 295 million,"$33,999,109 "
38,4.5,1.4,7.1,1.9,11.9,9.6,24.4,36.2,2.6,6.6,15%,$ 147 million,"$16,973,742 "
39,5.1,5.4,22,4.6,1.7,12.7,11.8,16.7,6.7,5.1,25%,$ 117 million,"$13,477,372 "
