SENDIST,WhiteEmploy,BlackEmploy,Native AmericanEmploy,AsianEmploy,LatinoEmploy,WhiteDisability,BlackDisability,Native AmericanDisability,AsianDisability,LatinoDisability,FemHHPov,TotalIncomeBuyingPower,MNTaxes
Dummy,3.6,7,4.6,1,8.2,13,8.6,10.5,2,9,12.00%,116000000,13337015
1,3.6,7,4.6,1,8.2,13,8.6,10.5,2,9,12.00%,116000000,13337015
2,4.9,21.9,21.4,3.6,25.4,13.2,3.3,14.8,5.5,3.5,51.00%,259000000,29847585
3,5.5,9.5,13.9,3.8,6.4,10.6,12,23.4,10.9,9.3,3.00%,88000000,10100944
4,3.7,18.4,8.6,9.6,7.1,15,13.7,16.6,7,13.9,23.00%,134000000,15456304
5,6.5,45,20.2,0,11.5,16.1,29.9,29.5,13,18.2,37.00%,191000000,22023317
6,7.4,23.7,20.7,7.8,8.6,13.7,17.6,19.8,3.2,5.8,16.00%,72000000,8257038
7,6.1,28.3,20.2,6.7,3.6,13.4,17.6,52.1,12.3,7.9,23.00%,137000000,15781121
8,4.3,14.2,9.8,2.4,8,13.4,11.9,18.6,0,4.4,22.00%,73000000,8354562
9,5.2,2.5,10.9,4.5,8.7,15,6.8,21.7,10.7,19.8,8.00%,70000000,8061567
10,5.7,1.7,15.4,4.4,18.6,14.2,20.5,13,2.1,10.3,2.00%,60000000,6889385
11,6.3,19.1,14.5,1,9.9,12.4,23.8,20,0.6,4.5,17.00%,132000000,15181822
12,3.2,9.3,22.4,5.4,9.2,10.7,7.2,35,6.5,7.9,8.00%,84000000,9663365
13,4.5,11.5,22.4,4.7,13.4,12.6,8.8,26.5,9.8,9.6,8.00%,91000000,10516484
14,5.8,19.5,14.2,10.6,10.4,10.9,12.1,15.5,8,10.2,35.00%,218000000,25113931
15,5.6,11.2,18.8,10.7,10.5,11.8,11.1,7.8,4.3,5.3,13.00%,76000000,8735135
16,3.5,18.9,7.3,1.4,13.5,13.2,6.7,7.8,2.8,7.5,30.00%,129000000,14904344
